Unnamed: 0.1,Unnamed: 0,oracle_id,name,name_ja,banned,mv,rarity,text,type,power,toughness,w,u,b,r,g,c,image_small
24,24,df2d2c52-475b-4057-9cf8-7886700f0fae,Academy Researchers,アカデミーの研究者,False,3,uncommon,"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.",Creature — Human Wizard,2.0,2.0,False,True,False,False,False,False,https://cards.scryfall.io/small/front/6/c/6ca58c8e-9f40-4ed8-a3ed-a01fe67c600d.jpg?1562917805
25,25,79189464-9645-4411-8886-68fd40a588ed,Accelerate,加速,False,2,common,"Target creature gains haste until end of turn.
Draw a card.",Instant,,,False,False,False,True,False,False,https://cards.scryfall.io/small/front/6/a/6a28dd88-db90-4f02-8aa9-39051d2c4763.jpg?1562630166
26,26,f8a9c279-0f11-4a22-8651-f9caf013ca3c,Accelerated Mutation,促成の突然変異,False,5,common,"Target creature gets +X/+X until end of turn, where X is the highest mana value among permanents you control.",Instant,,,False,False,False,False,True,False,https://cards.scryfall.io/small/front/2/8/282f808c-0b58-4b98-aeda-f606a10d1a4b.jpg?1562526627
27,27,2b6d95b5-0680-43ae-9ff3-8e287a9eb837,Acceptable Losses,容認される損失,False,4,common,"As an additional cost to cast this spell, discard a card at random.
Acceptable Losses deals 5 damage to target creature.",Sorcery,,,False,False,False,True,False,False,https://cards.scryfall.io/small/front/9/0/9082bfb8-0ab0-4378-976d-a2c9d3c35a5e.jpg?1562921827
28,28,1ca25379-d194-4670-a7bf-525ad11cf436,Accumulated Knowledge,蓄積した知識,False,2,common,"Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.",Instant,,,False,True,False,False,False,False,https://cards.scryfall.io/small/front/a/b/ab061406-38f4-40e7-a9ea-e3cbcaabc127.jpg?1562631458
29,29,b1e6921e-e460-4e58-82b0-d98ee31c279d,Accursed Centaur,呪われたケンタウルス,False,1,common,"When Accursed Centaur enters the battlefield, sacrifice a creature.",Creature — Zombie Centaur,2.0,2.0,False,False,True,False,False,False,https://cards.scryfall.io/small/front/8/9/894556d8-6d5c-431b-a45d-26cd37c5f456.jpg?1562927409
30,30,bf034a20-e362-4f38-9bf9-857777c62598,Acidic Dagger,酸の短剣,False,4,rare,"{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate only before blockers are declared.",Artifact,,,False,False,False,False,False,True,https://cards.scryfall.io/small/front/6/d/6dfdea79-2a7c-489d-8466-e6090c2a0919.jpg?1562719777
31,31,a149eeb1-007c-435d-9d55-34af205090e0,Acidic Sliver,酸性スリヴァー,False,2,uncommon,"All Slivers have ""{2}, Sacrifice this permanent: This permanent deals 2 damage to any target.""",Creature — Sliver,2.0,2.0,False,False,True,True,False,False,https://cards.scryfall.io/small/front/2/d/2d92c3f7-a589-4c87-aa17-0d9707605ff4.jpg?1562596380
32,32,4ccc1ac5-db90-4fc9-9795-7afaf7466c3e,Acidic Soil,酸性土,False,3,uncommon,Acidic Soil deals damage to each player equal to the number of lands they control.,Sorcery,,,False,False,False,True,False,False,https://cards.scryfall.io/small/front/7/9/790157c9-b1ed-4da5-9d50-e99e0dd807b7.jpg?1562920405
33,33,6aeba615-2d37-4eb8-a377-41a517e95aa3,Acorn Harvest,ドングリの収穫,False,4,common,"Create two 1/1 green Squirrel creature tokens.
Flashback—{1}{G}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Sorcery,,,False,False,False,False,True,False,https://cards.scryfall.io/small/front/3/2/32987720-cc0c-416b-b79b-217d3b37542d.jpg?1696000850
34,34,c6d0f1bc-b82a-4e64-a4bc-11ad3f54c71a,Acridian,アクリディアン虫,False,2,common,"Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)",Creature — Insect,2.0,4.0,False,False,False,False,True,False,https://cards.scryfall.io/small/front/0/5/05d5a38f-5a60-46da-af1c-440e4bf7fe9e.jpg?1562896226
35,35,205ffa76-ff8e-4405-b21a-42358a9883c2,Active Volcano,活火山,False,1,common,"Choose one —
• Destroy target blue permanent.
• Return target Island to its owner's hand.",Instant,,,False,False,False,True,False,False,https://cards.scryfall.io/small/front/5/6/56adb184-f261-40e1-bdf3-e85d7d13faa2.jpg?1562912639
36,36,bd372a53-48f9-4e9a-ab00-0f9c4606d452,Adarkar Sentinel,,False,5,uncommon,{1}: Adarkar Sentinel gets +0/+1 until end of turn.,Artifact Creature — Soldier,3.0,3.0,False,False,False,False,False,True,https://cards.scryfall.io/small/front/f/f/ff62754b-f4f0-4731-8dd7-327a820f60a8.jpg?1562943133
37,37,287cd5e8-51e2-42a4-a139-c112ff89706d,Adarkar Unicorn,,False,3,common,{T}: Add {U} or {C}{U}. Spend this mana only to pay cumulative upkeep costs.,Creature — Unicorn,2.0,2.0,True,False,False,False,False,False,https://cards.scryfall.io/small/front/0/b/0ba7526f-dba8-4483-b925-946164fc0ae9.jpg?1587911477
38,38,d5ad26cc-2bdb-46b7-b8bf-dd099d5fa09b,Adarkar Wastes,アダーカー荒原,False,0,rare,"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.",Land,,,False,False,False,False,False,True,https://cards.scryfall.io/small/front/5/6/56c1e5f1-4665-4afc-83e4-4968df72eb8f.jpg?1562590871
39,39,3745aea4-4455-4859-9772-bcfd14e4067b,Addle,頭の混乱,False,2,uncommon,Choose a color. Target player reveals their hand and you choose a card of that color from it. That player discards that card.,Sorcery,,,False,False,True,False,False,False,https://cards.scryfall.io/small/front/e/8/e8afb9d0-affa-4599-bf29-729cfe64703b.jpg?1562941705
40,40,831e2185-0bb2-45bb-99cd-d2091bad86f0,Advance Scout,先発の斥候,False,2,common,"First strike
{W}: Target creature gains first strike until end of turn.",Creature — Human Soldier Scout,1.0,1.0,True,False,False,False,False,False,https://cards.scryfall.io/small/front/d/5/d586407a-d260-48c6-8c05-50612d109221.jpg?1562945852
41,41,ea93acc8-0c1f-42a2-bed3-f385d210d58f,Aegis of Honor,名誉の神盾,False,1,rare,"{1}: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.",Enchantment,,,True,False,False,False,False,False,https://cards.scryfall.io/small/front/9/5/9561ffdb-f4dd-4b62-a2c2-933498e3a061.jpg?1562922716
42,42,0cf78877-bf08-413c-8ecb-8c3265ac1c4a,Aegis of the Meek,,False,3,rare,"{1}, {T}: Target 1/1 creature gets +1/+2 until end of turn.",Artifact,,,False,False,False,False,False,True,https://cards.scryfall.io/small/front/5/d/5d272051-f442-4f6e-8c64-df28b398d2e8.jpg?1587856745
43,43,d13aff7c-f0ee-44e2-ae1c-62cd86ad46a6,Aerial Caravan,天駆ける隊商,False,6,rare,"Flying
{1}{U}{U}: Exile the top card of your library. Until end of turn, you may play that card. (Reveal the card as you exile it.)",Creature — Human Soldier,4.0,3.0,False,True,False,False,False,False,https://cards.scryfall.io/small/front/a/d/adac91af-5165-4779-99f7-e75c83fa5d5d.jpg?1562382540
44,44,99dcde0b-4f4d-4d7a-89aa-8a89c256e38f,Aesthir Glider,エイスサーの滑空機,False,3,common,"Flying
Aesthir Glider can't block.",Artifact Creature — Bird Construct,2.0,1.0,False,False,False,False,False,True,https://cards.scryfall.io/small/front/3/5/35a8080f-ca3c-46fe-81cf-003ac7ba7f24.jpg?1591105503
45,45,0fe602b7-9f88-4d3d-af24-7790df867ed5,Aether Barrier,上天の障壁,False,3,rare,"Whenever a player casts a creature spell, that player sacrifices a permanent unless they pay {1}.",Enchantment,,,False,True,False,False,False,False,https://cards.scryfall.io/small/front/3/6/36298f9f-12cc-43bd-adda-ccabd67a9568.jpg?1562629370
46,46,1e33f39b-a61a-4a09-a541-16cc1bd53d02,Aether Burst,霊気の噴出,False,2,common,"Return up to X target creatures to their owners' hands, where X is one plus the number of cards named Aether Burst in all graveyards as you cast this spell.",Instant,,,False,True,False,False,False,False,https://cards.scryfall.io/small/front/3/d/3d09ea4a-0d3a-40b8-be0f-a31693099c4f.jpg?1562906235
47,47,15e83068-6253-4c65-8679-7295f3dc2075,Aether Charge,霊気の突進,False,5,uncommon,"Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent or planeswalker.",Enchantment,,,False,False,False,True,False,False,https://cards.scryfall.io/small/front/0/5/05df2792-4971-49e8-a8f2-17700e247500.jpg?1562896370
48,48,a3c35742-e306-49b6-b042-db4f685c6f86,Aether Flash,上天の閃光,False,4,uncommon,"Whenever a creature enters the battlefield, Aether Flash deals 2 damage to it.",Enchantment,,,False,False,False,True,False,False,https://cards.scryfall.io/small/front/c/6/c61721ec-6008-4704-85d6-83d4f2558b5a.jpg?1562822627
49,49,6697fe5b-90ac-4321-aa2f-cdc6ec283cb4,Aether Mutation,上天の突然変異,False,5,uncommon,"Return target creature to its owner's hand. Create X 1/1 green Saproling creature tokens, where X is that creature's mana value.",Sorcery,,,False,True,False,False,True,False,https://cards.scryfall.io/small/front/a/9/a9507116-ede8-40a1-8fa3-705e6f6f64c0.jpg?1562935036
50,50,2577ef8e-d85e-47af-ac34-629f31992751,Aether Rift,上天の裂け目,False,3,rare,"At the beginning of your upkeep, discard a card at random. If you discard a creature card this way, return it from your graveyard to the battlefield unless any player pays 5 life.",Enchantment,,,False,False,False,True,True,False,https://cards.scryfall.io/small/front/6/9/692c186a-997c-4f7e-a339-bf84884e1019.jpg?1562916173
51,51,61105cb5-d7a1-4021-a006-dd1b947dfa68,Aether Sting,上天の一刺し,False,4,uncommon,"Whenever an opponent casts a creature spell, Aether Sting deals 1 damage to that player.",Enchantment,,,False,False,False,True,False,False,https://cards.scryfall.io/small/front/6/6/66a09917-50ce-4b51-a5cf-e28e88a45762.jpg?1562444227
52,52,ff4297d3-3d96-4bd6-a606-1bdc20a6df2b,Aether Storm,上天の嵐,False,4,uncommon,"Creature spells can't be cast.
Pay 4 life: Destroy Aether Storm. It can't be regenerated. Any player may activate this ability.",Enchantment,,,False,True,False,False,False,False,https://cards.scryfall.io/small/front/7/9/79d6b89e-f24a-4d32-a6f7-8466f46d9ad0.jpg?1562591842
53,53,2fbf95b4-bcf4-4b5e-b5dc-0294f2b48d3e,Aether Tide,上天の潮流,False,1,common,"As an additional cost to cast this spell, discard X creature cards.
Return X target creatures to their owners' hands.",Sorcery,,,False,True,False,False,False,False,https://cards.scryfall.io/small/front/9/a/9aab7526-5825-4f31-92ff-be25ab5af2f5.jpg?1562088326
54,54,471f6ad3-cf01-42dd-a519-ea8e13039fea,Afflict,苦悩,False,3,common,"Target creature gets -1/-1 until end of turn.
Draw a card.",Instant,,,False,False,True,False,False,False,https://cards.scryfall.io/small/front/0/0/0012621b-c0e1-48d6-99b9-ecca4763d748.jpg?1562895004
55,55,056a98aa-f3f7-4ac9-9755-3e8a60a59abb,Afiya Grove,アフィヤの樹,False,2,rare,"Afiya Grove enters the battlefield with three +1/+1 counters on it.
At the beginning of your upkeep, move a +1/+1 counter from Afiya Grove onto target creature.
When Afiya Grove has no +1/+1 counters on it, sacrifice it.",Enchantment,,,False,False,False,False,True,False,https://cards.scryfall.io/small/front/c/4/c495e1f3-0845-4556-83e6-de8b9d518d1d.jpg?1562721453
56,56,4c13e2b5-961a-4031-84b1-15bd19b94286,Afterlife,死後の生命,False,3,uncommon,Destroy target creature. It can't be regenerated. Its controller creates a 1/1 white Spirit creature token with flying.,Instant,,,True,False,False,False,False,False,https://cards.scryfall.io/small/front/4/6/4644694d-52e6-4d00-8cad-748899eeea84.jpg?1562718804
57,57,e6bef0c4-3dfc-49a8-8fec-22b2570b704b,Aftershock,余震,False,4,common,"Destroy target artifact, creature, or land. Aftershock deals 3 damage to you.",Sorcery,,,False,False,False,True,False,False,https://cards.scryfall.io/small/front/c/9/c91a26b2-03f8-43f0-a3a4-ff6c5a3690c4.jpg?1587857346
58,58,9023c530-f329-4301-8b24-4cf676194265,Ageless Sentinels,老いざる歩哨,False,4,rare,"Defender (This creature can't attack.)
Flying
When Ageless Sentinels blocks, it becomes a Bird Giant, and it loses defender. (It's no longer a Wall. This effect lasts indefinitely.)",Creature — Wall,4.0,4.0,True,False,False,False,False,False,https://cards.scryfall.io/small/front/c/c/ccaa4a19-8eba-4c43-8a9a-636e234df751.jpg?1562534734
59,59,d2e0d739-b441-4173-a8f1-b831a19ea98e,Agent of Shauku,ショークーの工作員,False,2,common,"{1}{B}, Sacrifice a land: Target creature gets +2/+0 until end of turn.",Creature — Human Mercenary,1.0,1.0,False,False,True,False,False,False,https://cards.scryfall.io/small/front/d/8/d8316804-6f8b-423e-a2c3-fa476c095544.jpg?1562935446
60,60,099fd4b3-92fd-4b5f-bb4f-eefa6f09700c,Agent of Stromgald,,False,1,common,{R}: Add {B}.,Creature — Human Knight,1.0,1.0,False,False,False,True,False,False,https://cards.scryfall.io/small/front/4/a/4a7506f8-cf09-46ca-ad80-3c398c487ae2.jpg?1562768700
61,61,20129459-a386-41eb-899d-1aede3427300,Aggravated Assault,追い討ち,False,3,rare,"{3}{R}{R}: Untap all creatures you control. After this main phase, there is an additional combat phase followed by an additional main phase. Activate only as a sorcery.",Enchantment,,,False,False,False,True,False,False,https://cards.scryfall.io/small/front/c/9/c99c5707-d5f2-4675-bfca-e801e6b0f627.jpg?1562942627
62,62,b6c38a2b-2fe8-4080-80ce-cfa12aaf57f0,Aggression,,False,3,uncommon,"Enchant non-Wall creature
Enchanted creature has first strike and trample.
At the beginning of the end step of enchanted creature's controller, destroy that creature if it didn't attack this turn.",Enchantment — Aura,,,False,False,False,True,False,False,https://cards.scryfall.io/small/front/f/3/f3f26060-0c24-496c-b8e2-4dac7ea6166b.jpg?1562940829
63,63,43f5a93b-0f8d-48d2-ab9d-275d44cf88b5,Aggressive Urge,攻撃的衝動,False,2,common,"Target creature gets +1/+1 until end of turn.
Draw a card.",Instant,,,False,False,False,False,True,False,https://cards.scryfall.io/small/front/3/7/37e3154d-9b1c-4f93-9bc3-a39e68d59d23.jpg?1562906253
64,64,0f5f8b47-d104-4e29-b052-02d730d76ec0,Agility,俊敏,False,2,common,"Enchant creature
Enchanted creature gets +1/+1 and has flanking. (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)",Enchantment — Aura,,,False,False,False,True,False,False,https://cards.scryfall.io/small/front/5/6/5694cb42-7489-40c5-b21a-aeb36636015f.jpg?1562719275
65,65,41681a1f-0777-4b96-8c7e-d6a5d1b1c8fc,Agonizing Demise,苦悶の死,False,4,common,"Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)
Destroy target nonblack creature. It can't be regenerated. If this spell was kicked, Agonizing Demise deals damage equal to that creature's power to the creature's controller.",Instant,,,False,False,True,False,False,False,https://cards.scryfall.io/small/front/5/3/539ac5e1-4bad-4f70-abac-e70c406bebec.jpg?1562912008
66,66,2ac9d397-10ca-43ce-bff9-45d631553486,Agonizing Memories,苦悶の記憶,False,4,uncommon,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,Sorcery,,,False,False,True,False,False,False,https://cards.scryfall.io/small/front/6/5/6556e1e2-44a6-49f1-8417-be8dae4ef65b.jpg?1562818430
67,67,25c8a3b0-c393-4fc6-a373-808cd8e9850c,Air Bladder,浮嚢,False,1,common,"Enchant creature
Enchanted creature has flying.
Enchanted creature can block only creatures with flying.",Enchantment — Aura,,,False,True,False,False,False,False,https://cards.scryfall.io/small/front/a/7/a7363c6f-53a3-4f41-b451-8120bc24f1ee.jpg?1562631393
68,68,7744bae4-a8b7-44a5-9b4c-0048ad4cc448,Air Elemental,大気の精霊,False,5,uncommon,Flying,Creature — Elemental,4.0,4.0,False,True,False,False,False,False,https://cards.scryfall.io/small/front/e/5/e5cfaefb-764c-4c56-bdb3-5f0375168597.jpg?1559603660
69,69,7f715f72-5444-4ab3-a6ca-3d5bfd0d4851,Airborne Aid,空からの援助,False,4,common,Draw a card for each Bird on the battlefield.,Sorcery,,,False,True,False,False,False,False,https://cards.scryfall.io/small/front/0/a/0aaa43b0-601f-4b99-a328-541b04d5696d.jpg?1593017362
70,70,25fc274f-d5af-4174-b8e8-c2e65bb4c13f,Airdrop Condor,投げ落とすコンドル,False,5,uncommon,"Flying
{1}{R}, Sacrifice a Goblin creature: Airdrop Condor deals damage equal to the sacrificed creature's power to any target.",Creature — Bird,2.0,2.0,False,False,False,True,False,False,https://cards.scryfall.io/small/front/e/c/ec9796ac-11e2-4295-bf00-f684d0111970.jpg?1562951282
71,71,a3fc6888-0a4b-4e1d-b709-042b8b6b1a04,Akroma's Blessing,アクローマの祝福,False,3,uncommon,"Choose a color. Creatures you control gain protection from the chosen color until end of turn.
Cycling {W} ({W}, Discard this card: Draw a card.)",Instant,,,True,False,False,False,False,False,https://cards.scryfall.io/small/front/c/3/c3710c68-3f71-4d76-8bd2-001f0e8036f5.jpg?1562941167
72,72,d264903b-d23e-48c8-95f1-cb1606a705a2,Akroma's Devoted,アクローマに仕える者,False,4,uncommon,Cleric creatures have vigilance.,Creature — Human Cleric,2.0,4.0,True,False,False,False,False,False,https://cards.scryfall.io/small/front/7/9/798893df-e720-471d-822d-50284de23efd.jpg?1562919405
73,73,ae19dce5-c9fc-4fbe-99b5-dc6a12124a68,Akroma's Vengeance,アクローマの復讐,False,6,rare,"Destroy all artifacts, creatures, and enchantments.
Cycling {3} ({3}, Discard this card: Draw a card.)",Sorcery,,,True,False,False,False,False,False,https://cards.scryfall.io/small/front/5/e/5e33aaf7-7490-4b64-a966-82fbf7ca8686.jpg?1562917166
74,74,107f204c-9fd3-490d-8887-be63d14fc6a4,"Akroma, Angel of Wrath",怒りの天使アクローマ,False,8,rare,"Flying, first strike, vigilance, trample, haste, protection from black and from red",Legendary Creature — Angel,6.0,6.0,True,False,False,False,False,False,https://cards.scryfall.io/small/front/8/1/814245de-6105-43ef-acbf-d12d304b6331.jpg?1562921034
75,75,c5f50a78-9dc4-4f3c-aa11-b41c8278bc16,Akron Legionnaire,アクロンの軍団兵,False,8,rare,"Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.",Creature — Giant Soldier,8.0,4.0,True,False,False,False,False,False,https://cards.scryfall.io/small/front/7/b/7b658243-267b-473f-acce-b4e211945c67.jpg?1562591847
76,76,233c6686-ead8-4569-941d-3bfa768ff270,Aku Djinn,アクーのジン,False,5,rare,"Trample
At the beginning of your upkeep, put a +1/+1 counter on each creature each opponent controls.",Creature — Djinn,5.0,6.0,False,False,True,False,False,False,https://cards.scryfall.io/small/front/3/6/369a5df5-fc36-476c-84f4-ec4bdeb4f9d2.jpg?1562277439
77,77,2392a41a-59d3-4749-be94-4d9df0af9c4c,Alabaster Dragon,純白のドラゴン,False,6,rare,"Flying
When Alabaster Dragon dies, shuffle it into its owner's library.",Creature — Dragon,4.0,4.0,True,False,False,False,False,False,https://cards.scryfall.io/small/front/1/e/1edc6ec1-3b34-45e0-8573-39eba1d10efa.jpg?1562445690
