,Unnamed: 0,oracle_id,name,name_ja,banned,mv,rarity,text,type,power,toughness,w,u,b,r,g,c
21,21,10733767-1c97-4e2e-b02b-54bf346f6583,Abyssal Nightstalker,深淵の夜魔,False,4,uncommon,"Whenever Abyssal Nightstalker attacks and isn't blocked, defending player discards a card.",Creature — Nightstalker,2,2,False,False,True,False,False,False
22,22,51833cff-6519-4806-8d91-0040e9a02189,Abyssal Specter,深淵の死霊,False,4,uncommon,"Flying
Whenever Abyssal Specter deals damage to a player, that player discards a card.",Creature — Specter,2,3,False,False,True,False,False,False
23,23,e3c85068-b4b6-40b9-a16c-5c3b2d059ec4,Academy Rector,アカデミーの学長,False,4,rare,"When Academy Rector dies, you may exile it. If you do, search your library for an enchantment card, put that card onto the battlefield, then shuffle.",Creature — Human Cleric,1,2,True,False,False,False,False,False
24,24,df2d2c52-475b-4057-9cf8-7886700f0fae,Academy Researchers,アカデミーの研究者,False,3,uncommon,"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.",Creature — Human Wizard,2,2,False,True,False,False,False,False
25,25,79189464-9645-4411-8886-68fd40a588ed,Accelerate,加速,False,2,common,"Target creature gains haste until end of turn.
Draw a card.",Instant,,,False,False,False,True,False,False
26,26,f8a9c279-0f11-4a22-8651-f9caf013ca3c,Accelerated Mutation,促成の突然変異,False,5,common,"Target creature gets +X/+X until end of turn, where X is the highest mana value among permanents you control.",Instant,,,False,False,False,False,True,False
27,27,2b6d95b5-0680-43ae-9ff3-8e287a9eb837,Acceptable Losses,容認される損失,False,4,common,"As an additional cost to cast this spell, discard a card at random.
Acceptable Losses deals 5 damage to target creature.",Sorcery,,,False,False,False,True,False,False
28,28,1ca25379-d194-4670-a7bf-525ad11cf436,Accumulated Knowledge,蓄積した知識,False,2,common,"Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.",Instant,,,False,True,False,False,False,False
29,29,b1e6921e-e460-4e58-82b0-d98ee31c279d,Accursed Centaur,呪われたケンタウルス,False,1,common,"When Accursed Centaur enters the battlefield, sacrifice a creature.",Creature — Zombie Centaur,2,2,False,False,True,False,False,False
30,30,bf034a20-e362-4f38-9bf9-857777c62598,Acidic Dagger,酸の短剣,False,4,rare,"{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate only before blockers are declared.",Artifact,,,False,False,False,False,False,True
31,31,a149eeb1-007c-435d-9d55-34af205090e0,Acidic Sliver,酸性スリヴァー,False,2,uncommon,"All Slivers have ""{2}, Sacrifice this permanent: This permanent deals 2 damage to any target.""",Creature — Sliver,2,2,False,False,True,True,False,False
32,32,4ccc1ac5-db90-4fc9-9795-7afaf7466c3e,Acidic Soil,酸性土,False,3,uncommon,Acidic Soil deals damage to each player equal to the number of lands they control.,Sorcery,,,False,False,False,True,False,False
33,33,6aeba615-2d37-4eb8-a377-41a517e95aa3,Acorn Harvest,ドングリの収穫,False,4,common,"Create two 1/1 green Squirrel creature tokens.
Flashback—{1}{G}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Sorcery,,,False,False,False,False,True,False
34,34,c6d0f1bc-b82a-4e64-a4bc-11ad3f54c71a,Acridian,アクリディアン虫,False,2,common,"Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)",Creature — Insect,2,4,False,False,False,False,True,False
35,35,205ffa76-ff8e-4405-b21a-42358a9883c2,Active Volcano,活火山,False,1,common,"Choose one —
• Destroy target blue permanent.
• Return target Island to its owner's hand.",Instant,,,False,False,False,True,False,False
36,36,bd372a53-48f9-4e9a-ab00-0f9c4606d452,Adarkar Sentinel,,False,5,uncommon,{1}: Adarkar Sentinel gets +0/+1 until end of turn.,Artifact Creature — Soldier,3,3,False,False,False,False,False,True
37,37,287cd5e8-51e2-42a4-a139-c112ff89706d,Adarkar Unicorn,,False,3,common,{T}: Add {U} or {C}{U}. Spend this mana only to pay cumulative upkeep costs.,Creature — Unicorn,2,2,True,False,False,False,False,False
38,38,d5ad26cc-2bdb-46b7-b8bf-dd099d5fa09b,Adarkar Wastes,アダーカー荒原,False,0,rare,"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.",Land,,,False,False,False,False,False,True
39,39,3745aea4-4455-4859-9772-bcfd14e4067b,Addle,頭の混乱,False,2,uncommon,Choose a color. Target player reveals their hand and you choose a card of that color from it. That player discards that card.,Sorcery,,,False,False,True,False,False,False
40,40,831e2185-0bb2-45bb-99cd-d2091bad86f0,Advance Scout,先発の斥候,False,2,common,"First strike
{W}: Target creature gains first strike until end of turn.",Creature — Human Soldier Scout,1,1,True,False,False,False,False,False
41,41,ea93acc8-0c1f-42a2-bed3-f385d210d58f,Aegis of Honor,名誉の神盾,False,1,rare,"{1}: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.",Enchantment,,,True,False,False,False,False,False
42,42,0cf78877-bf08-413c-8ecb-8c3265ac1c4a,Aegis of the Meek,,False,3,rare,"{1}, {T}: Target 1/1 creature gets +1/+2 until end of turn.",Artifact,,,False,False,False,False,False,True
43,43,d13aff7c-f0ee-44e2-ae1c-62cd86ad46a6,Aerial Caravan,天駆ける隊商,False,6,rare,"Flying
{1}{U}{U}: Exile the top card of your library. Until end of turn, you may play that card. (Reveal the card as you exile it.)",Creature — Human Soldier,4,3,False,True,False,False,False,False
44,44,99dcde0b-4f4d-4d7a-89aa-8a89c256e38f,Aesthir Glider,エイスサーの滑空機,False,3,common,"Flying
Aesthir Glider can't block.",Artifact Creature — Bird Construct,2,1,False,False,False,False,False,True
45,45,0fe602b7-9f88-4d3d-af24-7790df867ed5,Aether Barrier,上天の障壁,False,3,rare,"Whenever a player casts a creature spell, that player sacrifices a permanent unless they pay {1}.",Enchantment,,,False,True,False,False,False,False
46,46,1e33f39b-a61a-4a09-a541-16cc1bd53d02,Aether Burst,霊気の噴出,False,2,common,"Return up to X target creatures to their owners' hands, where X is one plus the number of cards named Aether Burst in all graveyards as you cast this spell.",Instant,,,False,True,False,False,False,False
47,47,15e83068-6253-4c65-8679-7295f3dc2075,Aether Charge,霊気の突進,False,5,uncommon,"Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent or planeswalker.",Enchantment,,,False,False,False,True,False,False
48,48,a3c35742-e306-49b6-b042-db4f685c6f86,Aether Flash,上天の閃光,False,4,uncommon,"Whenever a creature enters the battlefield, Aether Flash deals 2 damage to it.",Enchantment,,,False,False,False,True,False,False
49,49,6697fe5b-90ac-4321-aa2f-cdc6ec283cb4,Aether Mutation,上天の突然変異,False,5,uncommon,"Return target creature to its owner's hand. Create X 1/1 green Saproling creature tokens, where X is that creature's mana value.",Sorcery,,,False,True,False,False,True,False
50,50,2577ef8e-d85e-47af-ac34-629f31992751,Aether Rift,上天の裂け目,False,3,rare,"At the beginning of your upkeep, discard a card at random. If you discard a creature card this way, return it from your graveyard to the battlefield unless any player pays 5 life.",Enchantment,,,False,False,False,True,True,False
51,51,61105cb5-d7a1-4021-a006-dd1b947dfa68,Aether Sting,上天の一刺し,False,4,uncommon,"Whenever an opponent casts a creature spell, Aether Sting deals 1 damage to that player.",Enchantment,,,False,False,False,True,False,False
52,52,ff4297d3-3d96-4bd6-a606-1bdc20a6df2b,Aether Storm,上天の嵐,False,4,uncommon,"Creature spells can't be cast.
Pay 4 life: Destroy Aether Storm. It can't be regenerated. Any player may activate this ability.",Enchantment,,,False,True,False,False,False,False
53,53,2fbf95b4-bcf4-4b5e-b5dc-0294f2b48d3e,Aether Tide,上天の潮流,False,1,common,"As an additional cost to cast this spell, discard X creature cards.
Return X target creatures to their owners' hands.",Sorcery,,,False,True,False,False,False,False
54,54,471f6ad3-cf01-42dd-a519-ea8e13039fea,Afflict,苦悩,False,3,common,"Target creature gets -1/-1 until end of turn.
Draw a card.",Instant,,,False,False,True,False,False,False
55,55,056a98aa-f3f7-4ac9-9755-3e8a60a59abb,Afiya Grove,アフィヤの樹,False,2,rare,"Afiya Grove enters the battlefield with three +1/+1 counters on it.
At the beginning of your upkeep, move a +1/+1 counter from Afiya Grove onto target creature.
When Afiya Grove has no +1/+1 counters on it, sacrifice it.",Enchantment,,,False,False,False,False,True,False
56,56,4c13e2b5-961a-4031-84b1-15bd19b94286,Afterlife,死後の生命,False,3,uncommon,Destroy target creature. It can't be regenerated. Its controller creates a 1/1 white Spirit creature token with flying.,Instant,,,True,False,False,False,False,False
57,57,e6bef0c4-3dfc-49a8-8fec-22b2570b704b,Aftershock,余震,False,4,common,"Destroy target artifact, creature, or land. Aftershock deals 3 damage to you.",Sorcery,,,False,False,False,True,False,False
58,58,9023c530-f329-4301-8b24-4cf676194265,Ageless Sentinels,老いざる歩哨,False,4,rare,"Defender (This creature can't attack.)
Flying
When Ageless Sentinels blocks, it becomes a Bird Giant, and it loses defender. (It's no longer a Wall. This effect lasts indefinitely.)",Creature — Wall,4,4,True,False,False,False,False,False
59,59,d2e0d739-b441-4173-a8f1-b831a19ea98e,Agent of Shauku,ショークーの工作員,False,2,common,"{1}{B}, Sacrifice a land: Target creature gets +2/+0 until end of turn.",Creature — Human Mercenary,1,1,False,False,True,False,False,False
60,60,099fd4b3-92fd-4b5f-bb4f-eefa6f09700c,Agent of Stromgald,,False,1,common,{R}: Add {B}.,Creature — Human Knight,1,1,False,False,False,True,False,False
61,61,20129459-a386-41eb-899d-1aede3427300,Aggravated Assault,追い討ち,False,3,rare,"{3}{R}{R}: Untap all creatures you control. After this main phase, there is an additional combat phase followed by an additional main phase. Activate only as a sorcery.",Enchantment,,,False,False,False,True,False,False
62,62,b6c38a2b-2fe8-4080-80ce-cfa12aaf57f0,Aggression,,False,3,uncommon,"Enchant non-Wall creature
Enchanted creature has first strike and trample.
At the beginning of the end step of enchanted creature's controller, destroy that creature if it didn't attack this turn.",Enchantment — Aura,,,False,False,False,True,False,False
63,63,43f5a93b-0f8d-48d2-ab9d-275d44cf88b5,Aggressive Urge,攻撃的衝動,False,2,common,"Target creature gets +1/+1 until end of turn.
Draw a card.",Instant,,,False,False,False,False,True,False
64,64,0f5f8b47-d104-4e29-b052-02d730d76ec0,Agility,俊敏,False,2,common,"Enchant creature
Enchanted creature gets +1/+1 and has flanking. (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)",Enchantment — Aura,,,False,False,False,True,False,False
65,65,41681a1f-0777-4b96-8c7e-d6a5d1b1c8fc,Agonizing Demise,苦悶の死,False,4,common,"Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)
Destroy target nonblack creature. It can't be regenerated. If this spell was kicked, Agonizing Demise deals damage equal to that creature's power to the creature's controller.",Instant,,,False,False,True,False,False,False
66,66,2ac9d397-10ca-43ce-bff9-45d631553486,Agonizing Memories,苦悶の記憶,False,4,uncommon,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,Sorcery,,,False,False,True,False,False,False
67,67,25c8a3b0-c393-4fc6-a373-808cd8e9850c,Air Bladder,浮嚢,False,1,common,"Enchant creature
Enchanted creature has flying.
Enchanted creature can block only creatures with flying.",Enchantment — Aura,,,False,True,False,False,False,False
68,68,7744bae4-a8b7-44a5-9b4c-0048ad4cc448,Air Elemental,大気の精霊,False,5,uncommon,Flying,Creature — Elemental,4,4,False,True,False,False,False,False
69,69,7f715f72-5444-4ab3-a6ca-3d5bfd0d4851,Airborne Aid,空からの援助,False,4,common,Draw a card for each Bird on the battlefield.,Sorcery,,,False,True,False,False,False,False
70,70,25fc274f-d5af-4174-b8e8-c2e65bb4c13f,Airdrop Condor,投げ落とすコンドル,False,5,uncommon,"Flying
{1}{R}, Sacrifice a Goblin creature: Airdrop Condor deals damage equal to the sacrificed creature's power to any target.",Creature — Bird,2,2,False,False,False,True,False,False
71,71,a3fc6888-0a4b-4e1d-b709-042b8b6b1a04,Akroma's Blessing,アクローマの祝福,False,3,uncommon,"Choose a color. Creatures you control gain protection from the chosen color until end of turn.
Cycling {W} ({W}, Discard this card: Draw a card.)",Instant,,,True,False,False,False,False,False
72,72,d264903b-d23e-48c8-95f1-cb1606a705a2,Akroma's Devoted,アクローマに仕える者,False,4,uncommon,Cleric creatures have vigilance.,Creature — Human Cleric,2,4,True,False,False,False,False,False
73,73,ae19dce5-c9fc-4fbe-99b5-dc6a12124a68,Akroma's Vengeance,アクローマの復讐,False,6,rare,"Destroy all artifacts, creatures, and enchantments.
Cycling {3} ({3}, Discard this card: Draw a card.)",Sorcery,,,True,False,False,False,False,False
74,74,107f204c-9fd3-490d-8887-be63d14fc6a4,"Akroma, Angel of Wrath",怒りの天使アクローマ,False,8,rare,"Flying, first strike, vigilance, trample, haste, protection from black and from red",Legendary Creature — Angel,6,6,True,False,False,False,False,False
75,75,c5f50a78-9dc4-4f3c-aa11-b41c8278bc16,Akron Legionnaire,アクロンの軍団兵,False,8,rare,"Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.",Creature — Giant Soldier,8,4,True,False,False,False,False,False
76,76,233c6686-ead8-4569-941d-3bfa768ff270,Aku Djinn,アクーのジン,False,5,rare,"Trample
At the beginning of your upkeep, put a +1/+1 counter on each creature each opponent controls.",Creature — Djinn,5,6,False,False,True,False,False,False
77,77,2392a41a-59d3-4749-be94-4d9df0af9c4c,Alabaster Dragon,純白のドラゴン,False,6,rare,"Flying
When Alabaster Dragon dies, shuffle it into its owner's library.",Creature — Dragon,4,4,True,False,False,False,False,False
78,78,8a8b032e-90b7-4782-b854-b575f316d641,Alabaster Leech,あられ石のヒル,False,1,rare,White spells you cast cost {W} more to cast.,Creature — Leech,1,3,True,False,False,False,False,False
79,79,2fcca686-03c8-4407-9f9f-2b7462470044,Alabaster Potion,純白の秘薬,False,2,common,"Choose one —
• Target player gains X life.
• Prevent the next X damage that would be dealt to any target this turn.",Instant,,,True,False,False,False,False,False
80,80,f9f52651-cc64-48c5-bc18-cd5f646dfb1f,Alabaster Wall,石膏の壁,False,3,common,"Defender (This creature can't attack.)
{T}: Prevent the next 1 damage that would be dealt to any target this turn.",Creature — Wall,0,4,True,False,False,False,False,False
81,81,f8273146-f2e5-40ec-ba96-c0a4192caec8,Alaborn Cavalier,アラボーンの騎兵,False,4,uncommon,"Whenever Alaborn Cavalier attacks, you may tap target creature.",Creature — Human Knight,2,2,True,False,False,False,False,False
82,82,69c4429e-a8a4-49c3-bb43-9dce4cc6b90a,Alaborn Grenadier,アラボーンの擲弾兵,False,2,common,Vigilance,Creature — Human Soldier,2,2,True,False,False,False,False,False
83,83,61daa88d-fca4-4019-97f3-568346157ba6,Alaborn Musketeer,アラボーンのマスケット銃兵,False,2,common,Reach (This creature can block creatures with flying.),Creature — Human Soldier,2,1,True,False,False,False,False,False
84,84,17969b71-9612-45ff-b789-1c033f832154,Alaborn Trooper,アラボーンの強兵,False,3,common,,Creature — Human Soldier,2,3,True,False,False,False,False,False
85,85,7d9e905b-5f5c-4dbb-95cb-ccba0a5cbf8d,Alaborn Veteran,アラボーンの古参兵,False,3,rare,"{T}: Target creature gets +2/+2 until end of turn. Activate only during your turn, before attackers are declared.",Creature — Human Knight,2,2,True,False,False,False,False,False
86,86,0d0d97dd-2653-4d37-b475-ac3b50c5ee53,Alaborn Zealot,アラボーンの盲信者,False,1,uncommon,"When Alaborn Zealot blocks a creature, destroy that creature and Alaborn Zealot.",Creature — Human Soldier,1,1,True,False,False,False,False,False
87,87,9a410f83-ed92-4b55-834a-c7cec8f5d1e2,Aladdin,アラジン,False,4,uncommon,"{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin.",Creature — Human Rogue,1,1,False,False,False,True,False,False
88,88,2aa2f96b-5784-4767-b9ea-b8d9222cb1de,Aladdin's Lamp,アラジンのランプ,False,10,rare,"{X}, {T}: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card. X can't be 0.",Artifact,,,False,False,False,False,False,True
89,89,7810915f-df4d-445a-8ba8-fe6ed3abf1ae,Aladdin's Ring,アラジンの指輪,False,8,rare,"{8}, {T}: Aladdin's Ring deals 4 damage to any target.",Artifact,,,False,False,False,False,False,True
90,90,18e96674-6fd8-4046-a3fe-7ba80138d85d,Alarum,警告の叫び,False,2,common,Untap target nonattacking creature. It gets +1/+3 until end of turn.,Instant,,,True,False,False,False,False,False
91,91,02079e18-ac14-4255-95c4-741eb76c4799,Albino Troll,アルビノ・トロール,False,2,uncommon,"Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
{1}{G}: Regenerate Albino Troll.",Creature — Troll,3,3,False,False,False,False,True,False
92,92,da4cab2d-0068-440f-ba7c-f2d4e5fa976e,Aleatory,運まかせ,False,2,uncommon,"Cast this spell only during combat after blockers are declared.
Flip a coin. If you win the flip, target creature gets +1/+1 until end of turn.
Draw a card at the beginning of the next turn's upkeep.",Instant,,,False,False,False,True,False,False
93,93,0f019387-4684-493f-80c4-de6023096306,Alert Shu Infantry,油断なき蜀の歩兵部隊,False,3,uncommon,Vigilance,Creature — Human Soldier,2,2,True,False,False,False,False,False
94,94,e52eb1a6-fff1-4a47-b434-31a74d76231c,Alexi's Cloak,アレクシーの外套,False,2,common,"Flash
Enchant creature
Enchanted creature has shroud. (It can't be the target of spells or abilities.)",Enchantment — Aura,,,False,True,False,False,False,False
95,95,3f60de36-ed63-4d08-a012-fc16e91da46d,"Alexi, Zephyr Mage",西風の魔道士アレクシー,False,5,rare,"{X}{U}, {T}, Discard two cards: Return X target creatures to their owners' hands.",Legendary Creature — Human Spellshaper,3,3,False,True,False,False,False,False
96,96,ef3fdfea-330d-4948-94ec-67e344b48086,Ali Baba,アリ・ババ,False,1,uncommon,{R}: Tap target Wall.,Creature — Human Rogue,1,1,False,False,False,True,False,False
97,97,3d169bb1-e91b-46d8-9280-797192926314,Aliban's Tower,,False,2,common,Target blocking creature gets +3/+1 until end of turn.,Instant,,,False,False,False,True,False,False
98,98,664d982a-5cd8-4289-afb8-fa2e083042c9,Allay,沈静,False,2,common,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)
Destroy target enchantment.",Instant,,,True,False,False,False,False,False
99,99,399af8ea-7a6f-4f43-bd39-dc29a6e75e06,Alley Grifters,路地のいかさま師,False,3,common,"Whenever Alley Grifters becomes blocked, defending player discards a card.",Creature — Human Mercenary,2,2,False,False,True,False,False,False
100,100,a5ce2ccd-8c78-4749-8854-cb5fa5f4738e,Allied Strategies,連合戦略,False,5,uncommon,Domain — Target player draws a card for each basic land type among lands they control.,Sorcery,,,False,True,False,False,False,False
101,101,410b7faf-365c-4b73-a64d-bddbe49cfded,Alloy Golem,合金のゴーレム,False,6,uncommon,"As Alloy Golem enters the battlefield, choose a color.
Alloy Golem is the chosen color. (It's still an artifact.)",Artifact Creature — Golem,4,4,False,False,False,False,False,True
102,102,ad218276-a44b-4a61-8e42-26a27929bbbb,Alluring Scent,誘いの匂い,False,3,rare,All creatures able to block target creature this turn do so.,Sorcery,,,False,False,False,False,True,False
103,103,efd46a6e-a901-4224-8a29-d53a4dc7750c,Alms,喜捨,False,1,common,"{1}, Exile the top card of your graveyard: Prevent the next 1 damage that would be dealt to target creature this turn.",Enchantment,,,True,False,False,False,False,False
104,104,f1a76cca-829a-4576-a560-f1af34b80b87,Alpha Kavu,ボス・カヴー,False,3,uncommon,{1}{G}: Target Kavu creature gets -1/+1 until end of turn.,Creature — Kavu,2,2,False,False,False,False,True,False
105,105,839fb071-6585-4f3e-a13e-1c14779b401a,Alpha Status,最上位,False,3,uncommon,"Enchant creature
Enchanted creature gets +2/+2 for each other creature on the battlefield that shares a creature type with it.",Enchantment — Aura,,,False,False,False,False,True,False
106,106,607a3f5f-4a36-4077-b5cf-40ffd52fa580,Altar of Bone,,False,2,rare,"As an additional cost to cast this spell, sacrifice a creature.
Search your library for a creature card, reveal it, put it into your hand, then shuffle.",Sorcery,,,True,False,False,False,True,False
107,107,d64e9152-ef24-4394-aeb0-9c3befc56549,Altar of Dementia,狂気の祭壇,False,2,rare,Sacrifice a creature: Target player mills cards equal to the sacrificed creature's power.,Artifact,,,False,False,False,False,False,True
108,108,054c00b4-c940-455a-ad88-b8aa35931ecf,Alter Reality,現実の修正,False,2,rare,"Change the text of target spell or permanent by replacing all instances of one color word with another. (This effect lasts indefinitely.)
Flashback {1}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Instant,,,False,True,False,False,False,False
109,109,44e02e70-07ab-4795-8037-55185bd11d54,Aluren,魔の魅惑,False,4,rare,Any player may cast creature spells with mana value 3 or less without paying their mana costs and as though they had flash.,Enchantment,,,False,False,False,False,True,False
110,110,2df8f253-1d3c-4b1f-8549-93fb90623474,Ambassador Laquatus,ラクァタス大使,False,3,rare,{3}: Target player mills three cards.,Legendary Creature — Merfolk Wizard,1,3,False,True,False,False,False,False
111,111,1c69fdcf-ba87-480a-88df-70aa4ec9fff0,Amber Prison,琥珀の牢,False,4,rare,"You may choose not to untap Amber Prison during your untap step.
{4}, {T}: Tap target artifact, creature, or land. That permanent doesn't untap during its controller's untap step for as long as Amber Prison remains tapped.",Artifact,,,False,False,False,False,False,True
112,112,84de4fec-2f38-4293-93d3-b3882c5aac14,Ambition's Cost,野望の代償,False,4,rare,You draw three cards and you lose 3 life.,Sorcery,,,False,False,True,False,False,False
113,113,05828c1e-9185-4b70-94fe-753eacdf45a1,Ambush,,False,4,common,Blocking creatures gain first strike until end of turn.,Instant,,,False,False,False,True,False,False
114,114,e75b2a97-b28d-43fe-8b1e-ba87a09f339c,Ambush Commander,待ち伏せ司令官,False,5,rare,"Forests you control are 1/1 green Elf creatures that are still lands.
{1}{G}, Sacrifice an Elf: Target creature gets +3/+3 until end of turn.",Creature — Elf,2,2,False,False,False,False,True,False
115,115,454ed336-362d-46d9-96d5-8fcaa8a1c543,Ambush Party,待ち伏せ部隊,False,5,common,"First strike, haste",Creature — Human Rogue,3,1,False,False,False,True,False,False
116,116,2ddbbe65-f928-4b8e-8c4c-a9ce82e2594d,Amok,逆上,False,2,rare,"{1}, Discard a card at random: Put a +1/+1 counter on target creature.",Enchantment,,,False,False,False,True,False,False
117,117,9c9b1871-e776-4373-ba89-e009131cb6f7,Amphibious Kavu,両生カヴー,False,3,common,"Whenever Amphibious Kavu blocks or becomes blocked by one or more blue and/or black creatures, Amphibious Kavu gets +3/+3 until end of turn.",Creature — Kavu,2,2,False,False,False,False,True,False
